2021-12-15 22:12:47 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 22:12:685 INFO  HomePage :95 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-15 22:12:865 INFO  HomePage :72 - Enter job title [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //input[@id='keywords']]
2021-12-15 22:12:846 INFO  HomePage :79 - Enter job Location [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //input[@id='location']]
2021-12-15 22:12:467 INFO  HomePage :86 - select Distance : [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //select[@id='distance']]
2021-12-15 22:12:868 INFO  HomePage :102 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //input[@id='salarymin']]
2021-12-15 22:12:96 INFO  HomePage :111 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //input[@id='salarymax']]
2021-12-15 22:12:283 INFO  HomePage :118 - Select Salary type : [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //select[@id='salarytype']]
2021-12-15 22:12:503 INFO  HomePage :125 - Select Job type : [[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //select[@id='tempperm']]
2021-12-15 22:12:780 INFO  HomePage :132 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (243a896928111b581b683d20a874335b)] -> xpath: //input[contains(@id,'hp-search-btn')]]
2021-12-15 22:12:299 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 22:12:464 INFO  HomePage :95 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-15 22:12:65 INFO  HomePage :72 - Enter job title [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //input[@id='keywords']]
2021-12-15 22:12:50 INFO  HomePage :79 - Enter job Location [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //input[@id='location']]
2021-12-15 22:12:415 INFO  HomePage :86 - select Distance : [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //select[@id='distance']]
2021-12-15 22:12:657 INFO  HomePage :102 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //input[@id='salarymin']]
2021-12-15 22:12:858 INFO  HomePage :111 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //input[@id='salarymax']]
2021-12-15 22:12:64 INFO  HomePage :118 - Select Salary type : [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //select[@id='salarytype']]
2021-12-15 22:12:278 INFO  HomePage :125 - Select Job type : [[ChromeDriver: chrome on WINDOWS (1efb6f5492871f5afa3f5fe7bb5dc22b)] -> xpath: //select[@id='tempperm']]
